Sample,Condition,CellLine,AspectRatio
2,Random,Bone Clone,1.34895600865696
2,Random,Bone Clone,1.93590378891886
2,Random,Bone Clone,1.12602792239505
2,Random,Bone Clone,1.19220303731886
2,Random,Bone Clone,1.69194060352212
2,Random,Bone Clone,1.15663402581466
2,Random,Bone Clone,1.13398099745556
2,Random,Bone Clone,1.52886984600818
2,Random,Bone Clone,1.10375778140887
2,Random,Bone Clone,1.30752434312181
2,Random,Bone Clone,1.51446704151249
2,Random,Bone Clone,2.53398638711142
2,Random,Bone Clone,1.40578211389795
2,Random,Bone Clone,1.12974660454621
2,Random,Bone Clone,1.6424349231072
2,Random,Bone Clone,1.24485577403942
2,Random,Bone Clone,1.32274761329907
2,Random,Bone Clone,1.98995933179344
2,Random,Bone Clone,1.57603036503883
2,Random,Bone Clone,1.40554820568289
2,Random,Bone Clone,1.46011039655598
2,Random,Bone Clone,1.41439474973254
2,Random,Bone Clone,1.25187883080502
2,Random,Bone Clone,1.9580821394675
2,Random,Bone Clone,1.90881947492127
2,Random,Bone Clone,1.21481488904835
2,Random,Bone Clone,1.46480359699433
2,Random,Bone Clone,1.31932305655839
2,Random,Bone Clone,1.19185064700568
2,Random,Bone Clone,1.25907098920561
2,Random,Bone Clone,1.48745843521283
2,Random,Bone Clone,1.88682262182735
2,Random,Bone Clone,1.15865354009997
2,Random,Bone Clone,1.79228629767126
2,Random,Bone Clone,1.62882392983405
2,Random,Bone Clone,1.34693984488523
2,Random,Bone Clone,1.30583486348648
2,Random,Bone Clone,2.48870452713827
2,Random,Bone Clone,1.25308375562208
2,Random,Bone Clone,1.26614928212949
2,Random,Bone Clone,1.84355952123636
2,Random,Bone Clone,2.15602092588242
2,Random,Bone Clone,1.18393775231459
2,Random,Bone Clone,2.83997140610574
2,Random,Bone Clone,2.96964518007491
2,Random,Bone Clone,2.64240573546784
2,Random,Bone Clone,1.16204125852096
2,Random,Bone Clone,1.25531185416925
2,Random,Bone Clone,1.36020328269264
2,Random,Bone Clone,1.20099190974379
2,Random,Bone Clone,1.20975877517469
2,Random,Bone Clone,1.7420544515925
2,Random,Bone Clone,1.77684578064117
2,Random,Bone Clone,1.42941335992976
2,Random,Bone Clone,1.45894903045316
2,Random,Bone Clone,3.19615493418712
2,Random,Bone Clone,1.11556331899601
2,Random,Bone Clone,1.10385217021781
2,Random,Bone Clone,1.93889906692604
2,Random,Bone Clone,2.20119281271351
2,Random,Bone Clone,1.2510130177839
2,Random,Bone Clone,1.42747925393307
2,Random,Bone Clone,1.69647334610039
2,Random,Bone Clone,1.30358576234162
2,Random,Bone Clone,1.60658263869964
2,Random,Bone Clone,1.60558217229159
2,Random,Bone Clone,1.30886879736562
2,Random,Bone Clone,1.71404624295367
2,Random,Bone Clone,1.25823352524968
2,Random,Bone Clone,2.15670191901511
2,Random,Bone Clone,1.83715303077318
2,Random,Bone Clone,1.1384575566744
2,Random,Bone Clone,1.91757736525414
2,Random,Bone Clone,1.3110212149032
2,Random,Bone Clone,1.25668984638044
2,Random,Bone Clone,1.14009226331776
